
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;QloDGU1IFX0;Karaokê Tô Só Te Comunicando - Eliadh Part. Pedro Henrique e Fernando;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=QloDGU1IFX0;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;rEYHTO4LMGM;Karaokê Casal Raiz - Xand Avião;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=rEYHTO4LMGM;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;wpjeM9A5lqo;Karaokê A Gaia Foi Grande - Junior Vianna;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=wpjeM9A5lqo;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;r4FZEh6Do9s;Karaokê Saudade Boa - Jonas Esticado Part. Felipe Araújo;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=r4FZEh6Do9s;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;jzDHRlCxEFQ;Karaokê Solinho da Rabeta - Léo Santana Part. Pegadeira;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=jzDHRlCxEFQ;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;GpAbINNIcbM;Karaokê Estado Decadente - Zé Neto e Cristiano;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=GpAbINNIcbM;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;vlfuJw7Bawg;Karaokê Vingança - Luan Santana Part.MC Kekel;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=vlfuJw7Bawg;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;TogD5nLJoZE;Karaokê Sábado à Noite - Xand Avião;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=TogD5nLJoZE;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;lDqu1CfxfRU;Karaokê Piscininha Amor - Xand Avião;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=lDqu1CfxfRU;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;p_dSEMBX_gQ;Karaokê Que Amizade É Essa? - Mano Walter Part. Maiara e Maraisa;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=p_dSEMBX_gQ;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;nYHHSs2C17s;Karaokê Não Era Pra Eu Te Amar - Jonas Esticado;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=nYHHSs2C17s;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;mhBqd3Dow30;Karaokê My Baby - Gabriel Diniz;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=mhBqd3Dow30;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;P0gkYjvIcXc;Karaokê Pouca Roupa - Gabriel Diniz Part. Luiza e Maurílio;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=P0gkYjvIcXc;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;CM19piuiQog;Karaokê Jenifer - Gabriel Diniz;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=CM19piuiQog;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;oczKi6tf384;Karaokê Sortudo - Wesley Safadão;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=oczKi6tf384;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;xOPfdQMa_mA;Karaokê My Baby - Furacão Love;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=xOPfdQMa_mA;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;CLpUSA3hfTs;Karaokê Não Fala Não Pra Mim - Jonas Esticado;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=CLpUSA3hfTs;
Ponto do Karaokê 2;UCRKCTVnBNVX9jDDNaFhPk1A;D9TL7pda9dc;Karaokê Ainda Te Amo - Aldair Playboy;CDIQAA;youtube-dl.exe https://www.youtube.com/watch?v=D9TL7pda9dc;
